"","nb","glm","rpart","svmLinear","knn","nnet","rf","gbm","C5.0","treebag"
"Fold01.Rep01",0.745156482861401,0.799120234604106,0.751117734724292,0.44574780058651,0.869597615499255,0.816691505216095,0.817436661698957,0.788375558867362,0.678837555886736,0.791788856304985
"Fold02.Rep01",0.685543964232489,0.743666169895678,0.652757078986587,0.225037257824143,0.639344262295082,0.821162444113264,0.706408345752608,0.831594634873323,0.724292101341282,0.716840536512668
"Fold03.Rep01",0.767511177347243,0.812220566318927,0.657624633431085,0.262295081967213,0.719208211143695,0.710879284649776,0.712369597615499,0.79806259314456,0.5,0.763785394932936
"Fold04.Rep01",0.763040238450075,0.780923994038748,0.649776453055142,0.50521609538003,0.68107302533532,0.703427719821162,0.699701937406855,0.731743666169896,0.5,0.707898658718331
"Fold05.Rep01",0.771260997067449,0.774962742175857,0.687034277198212,0.225037257824143,0.669150521609538,0.77645305514158,0.794721407624633,0.770491803278688,0.5,0.800298062593145
"Fold06.Rep01",0.841642228739003,0.645305514157973,0.708211143695015,0.333830104321908,0.697214076246334,0.819672131147541,0.766862170087977,0.69574780058651,0.5,0.778688524590164
"Fold07.Rep01",0.780923994038748,0.85096870342772,0.659090909090909,0.634873323397913,0.767595307917889,0.755588673621461,0.762463343108504,0.798807749627422,0.781524926686217,0.767511177347243
"Fold08.Rep01",0.69150521609538,0.828445747800587,0.740685543964232,0.658357771260997,0.720566318926975,0.792846497764531,0.820381231671554,0.77645305514158,0.815982404692082,0.793988269794721
"Fold09.Rep01",0.81371087928465,0.716840536512668,0.73900293255132,0.463487332339791,0.82624633431085,0.604105571847507,0.828614008941878,0.798807749627422,0.647360703812317,0.786140089418778
"Fold10.Rep01",0.769794721407625,0.80058651026393,0.758569299552906,0.43841642228739,0.821162444113264,0.764530551415797,0.72354694485842,0.716840536512668,0.740469208211144,0.773460410557185
"Fold01.Rep02",0.771982116244411,0.725782414307005,0.525335320417288,0.721311475409836,0.623695976154993,0.664222873900293,0.739940387481371,0.72354694485842,0.546187683284457,0.710879284649776
"Fold02.Rep02",0.700447093889717,0.700879765395894,0.65946348733234,0.312316715542522,0.763785394932936,0.828614008941878,0.80849478390462,0.697947214076246,0.62316715542522,0.76466275659824
"Fold03.Rep02",0.807749627421759,0.767511177347243,0.780923994038748,0.341281669150522,0.701192250372578,0.724292101341282,0.833084947839046,0.809239940387481,0.732488822652757,0.61698956780924
"Fold04.Rep02",0.700879765395894,0.821162444113264,0.705663189269747,0.377049180327869,0.832339791356185,0.698956780923994,0.784457478005865,0.756598240469208,0.5,0.816691505216095
"Fold05.Rep02",0.772727272727273,0.721311475409836,0.731671554252199,0.520119225037258,0.667155425219941,0.748137108792846,0.76466275659824,0.870967741935484,0.5,0.758569299552906
"Fold06.Rep02",0.68107302533532,0.679618768328446,0.651759530791789,0.269061583577713,0.691348973607038,0.709388971684054,0.76602086438152,0.772727272727273,0.738450074515648,0.725073313782991
"Fold07.Rep02",0.898658718330849,0.791356184798808,0.649776453055142,0.631892697466468,0.702682563338301,0.775659824046921,0.762295081967213,0.610283159463487,0.5,0.806259314456036
"Fold08.Rep02",0.791356184798808,0.831594634873323,0.618479880774963,0.633383010432191,0.740685543964232,0.890029325513196,0.751117734724292,0.80327868852459,0.5,0.745156482861401
"Fold09.Rep02",0.789865871833085,0.74633431085044,0.766766020864382,0.346041055718475,0.732488822652757,0.74633431085044,0.763785394932936,0.690760059612519,0.687034277198212,0.745601173020528
"Fold10.Rep02",0.733233979135618,0.837555886736215,0.73919523099851,0.441132637853949,0.739940387481371,0.86950146627566,0.783904619970194,0.765395894428152,0.640762463343108,0.70193740685544
"Fold01.Rep03",0.912071535022355,0.751117734724292,0.657624633431085,0.451564828614009,0.721407624633431,0.752608047690015,0.807004470938897,0.711143695014663,0.643695014662757,0.784649776453055
"Fold02.Rep03",0.74266862170088,0.767511177347243,0.675111773472429,0.301043219076006,0.798807749627422,0.694485842026826,0.694485842026826,0.785923753665689,0.5,0.780923994038748
"Fold03.Rep03",0.834575260804769,0.794336810730253,0.596125186289121,0.65424739195231,0.720566318926975,0.781524926686217,0.837243401759531,0.817436661698957,0.5,0.777198211624441
"Fold04.Rep03",0.655737704918033,0.755588673621461,0.675953079178886,0.485842026825633,0.814516129032258,0.725806451612903,0.789865871833085,0.735469448584203,0.603576751117735,0.707153502235469
"Fold05.Rep03",0.722801788375559,0.777859237536657,0.683308494783905,0.667888563049853,0.751117734724292,0.783724340175953,0.779433681073025,0.801788375558867,0.815201192250373,0.763929618768328
"Fold06.Rep03",0.70193740685544,0.913489736070381,0.698956780923994,0.258064516129032,0.728017883755589,0.822652757078987,0.81891495601173,0.834310850439883,0.5,0.790322580645161
"Fold07.Rep03",0.760263929618768,0.85096870342772,0.737536656891496,0.631892697466468,0.789589442815249,0.770491803278688,0.792846497764531,0.690014903129657,0.607771260997067,0.888971684053651
"Fold08.Rep03",0.757078986587183,0.634897360703812,0.729508196721312,0.304985337243402,0.757824143070045,0.684053651266766,0.80327868852459,0.801788375558867,0.5,0.645894428152493
"Fold09.Rep03",0.919354838709677,0.727272727272727,0.675856929955291,0.636363636363636,0.695976154992549,0.781524926686217,0.77123695976155,0.671554252199413,0.70193740685544,0.745901639344262
"Fold10.Rep03",0.761549925484352,0.66467958271237,0.698956780923994,0.369597615499255,0.823397913561848,0.651266766020864,0.715350223546945,0.846041055718475,0.69150521609538,0.757824143070045
"Fold01.Rep04",0.736214605067064,0.751117734724292,0.681818181818182,0.520119225037258,0.704918032786885,0.819672131147541,0.784457478005865,0.865102639296188,0.857675111773472,0.845007451564829
"Fold02.Rep04",0.771260997067449,0.782414307004471,0.615102639296188,0.612518628912072,0.755131964809384,0.733137829912023,0.674366616989568,0.886736214605067,0.657228017883756,0.690760059612519
"Fold03.Rep04",0.583577712609971,0.767511177347243,0.674366616989568,0.230998509687034,0.782414307004471,0.830104321907601,0.751466275659824,0.85096870342772,0.5,0.730998509687034
"Fold04.Rep04",0.781524926686217,0.705278592375367,0.69574780058651,0.441348973607038,0.692815249266862,0.910557184750733,0.760059612518629,0.867362146050671,0.491803278688525,0.724340175953079
"Fold05.Rep04",0.769001490312966,0.851906158357771,0.732488822652757,0.476539589442815,0.811475409836066,0.798807749627422,0.743666169895678,0.682563338301043,0.5,0.774193548387097
"Fold06.Rep04",0.824046920821114,0.794721407624633,0.638599105812221,0.319648093841642,0.613263785394933,0.916542473919523,0.829178885630499,0.763040238450075,0.5,0.80791788856305
"Fold07.Rep04",0.831378299120235,0.815201192250373,0.75733137829912,0.636363636363636,0.735337243401759,0.745156482861401,0.804023845007452,0.769794721407625,0.610703812316716,0.754843517138599
"Fold08.Rep04",0.777943368107302,0.769001490312966,0.72876304023845,0.603576751117735,0.72876304023845,0.792846497764531,0.72876304023845,0.789865871833085,0.842771982116244,0.592399403874814
"Fold09.Rep04",0.886736214605067,0.640834575260805,0.737704918032787,0.621460506706408,0.646795827123696,0.769001490312966,0.849478390461997,0.755588673621461,0.5,0.669895678092399
"Fold10.Rep04",0.763040238450075,0.754098360655738,0.810730253353204,0.737704918032787,0.799552906110283,0.774193548387097,0.743401759530792,0.842026825633383,0.737536656891496,0.688524590163934
"Fold01.Rep05",0.6158357771261,0.771982116244411,0.684017595307918,0.746646795827124,0.687683284457478,0.812220566318927,0.784649776453055,0.707478005865103,0.5,0.716840536512668
"Fold02.Rep05",0.810730253353204,0.84053651266766,0.660953800298062,0.675111773472429,0.587928464977645,0.76602086438152,0.656158357771261,0.734604105571848,0.5,0.810730253353204
"Fold03.Rep05",0.830104321907601,0.825513196480938,0.609970674486803,0.256598240469208,0.672287390029326,0.876304023845007,0.804769001490313,0.77645305514158,0.5,0.731671554252199
"Fold04.Rep05",0.745156482861401,0.894187779433681,0.64903129657228,0.290611028315946,0.72354694485842,0.662756598240469,0.822652757078987,0.795827123695976,0.5,0.881520119225037
